product_name,category_level_1,category_level_2,category_level_3,pack_size_value,pack_size_unit,list_price,channel,observed_at
덴마크 하이그릭요거트 400g,우유류,발효유,호상-중대용량,400,g,2820,네이버쇼핑,2025-08-26
동원맛참 고소참기름 135g,참치,참치캔,라이트스탠다드참치,135,g,15990,네이버쇼핑,2025-08-26
동원맛참 고소참기름 90g,참치,참치캔,라이트스탠다드참치,90,g,1700,네이버쇼핑,2025-08-26
동원맛참 매콤참기름 135g,참치,참치캔,라이트스탠다드참치,135,g,16275,네이버쇼핑,2025-08-26
동원맛참 매콤참기름 90g,참치,참치캔,라이트스탠다드참치,90,g,19050,네이버쇼핑,2025-08-26
동원참치액 순 500g,조미소스,조미료,액상조미료,500,g,12900,네이버쇼핑,2025-08-26
동원참치액 순 900g,조미소스,조미료,액상조미료,900,g,14430,네이버쇼핑,2025-08-26
동원참치액 진 500g,조미소스,조미료,액상조미료,500,g,7990,네이버쇼핑,2025-08-26
동원참치액 진 900g,조미소스,조미료,액상조미료,900,g,4900,네이버쇼핑,2025-08-26
리챔 오믈레햄 200g,축산캔,고급축산캔,가미축산캔,200,g,24110,네이버쇼핑,2025-08-26
리챔 오믈레햄 340g,축산캔,고급축산캔,가미축산캔,340,g,32760,네이버쇼핑,2025-08-26
소화가 잘되는 우유로 만든 바닐라라떼 250mL,우유류,커피,커피-CUP,250,ml,2580,네이버쇼핑,2025-08-26
소화가 잘되는 우유로 만든 카페라떼 250mL,우유류,커피,커피-CUP,250,ml,5750,네이버쇼핑,2025-08-26
프리미엄 동원참치액 500g,조미소스,조미료,액상조미료,500,g,14980,네이버쇼핑,2025-08-26
프리미엄 동원참치액 900g,조미소스,조미료,액상조미료,900,g,22400,네이버쇼핑,2025-08-26
